;; This is an annotated  version of the ADV.DAT file that is part of the 
;; WordNet 1.6 release.  Specifically, each record in the original file now 
;; includes an extra field at the end that indicates a related concept in 
;; the SUMO ontology.  This concept is designated with the prefix '&%'.  Note 
;; that each concept also has a suffix, viz. '=', '+' or '@', which indicates 
;; the precise relationship between the SUMO concept and the WordNet synset.  
;; The symbols '=', '+', and '@' mean, respectively, that the WordNet synset
;; is equivalent in meaning to the SUMO concept, is subsumed by the SUMO 
;; concept or is an instance of the SUMO concept.  More information about 
;; these mappings and the process of constructing them can be found in the 
;; paper "Aligning the SUMO with WordNet" (Niles, forthcoming).

;; The WordNet license (copied below) applies to the original WordNet content.
;; The mappings from SUMO to WordNet are copyrighted by Teknowledge (c)
;; 2002.  They are released under the GNU Public License 
;; http://www.gnu.org/copyleft/gpl.html>.  Users of this code also consent, by 
;; use of this material, to credit Teknowledge in any writings, briefings, 
;; publications, presentations, or other representations of any code or other 
;; product which incorporates, builds on, or uses this material.

;; 1 This software and database is being provided to you, the LICENSEE, by  
;; 2 Princeton University under the following license.  By obtaining, using  
;; 3 and/or copying this software and database, you agree that you have  
;; 4 read, understood, and will comply with these terms and conditions.:  
;; 5   
;; 6 Permission to use, copy, modify and distribute this software and  
;; 7 database and its documentation for any purpose and without fee or  
;; 8 royalty is hereby granted, provided that you agree to comply with  
;; 9 the following copyright notice and statements, including the disclaimer,  
;; 10 and that the same appear on ALL copies of the software, database and  
;; 11 documentation, including modifications that you make for internal  
;; 12 use or for distribution.  
;; 13   
;; 14 WordNet 1.6 Copyright 1997 by Princeton University.  All rights reserved.  
;; 15   
;; 16 THIS SOFTWARE AND DATABASE IS PROVIDED "AS IS" AND PRINCETON  
;; 17 UNIVERSITY MAKES NO REPRESENTATIONS OR WARRANTIES, EXPRESS OR  
;; 18 IMPLIED.  BY WAY OF EXAMPLE, BUT NOT LIMITATION, PRINCETON  
;; 19 UNIVERSITY MAKES NO REPRESENTATIONS OR WARRANTIES OF MERCHANT-  
;; 20 ABILITY OR FITNESS FOR ANY PARTICULAR PURPOSE OR THAT THE USE  
;; 21 OF THE LICENSED SOFTWARE, DATABASE OR DOCUMENTATION WILL NOT  
;; 22 INFRINGE ANY THIRD PARTY PATENTS, COPYRIGHTS, TRADEMARKS OR  
;; 23 OTHER RIGHTS.  
;; 24   
;; 25 The name of Princeton University or Princeton may not be used in  
;; 26 advertising or publicity pertaining to distribution of the software  
;; 28 and/or database.  Title to copyright in this software, database and  
;; 29 any associated documentation shall at all times remain with  
;; 30 Princeton University and LICENSEE agrees to preserve same.  

00001740 02 r 02 ahorse 0 ahorseback 0 000 | on horseback; "managed to escape ahorse"; "policeman patrolled the streets ahorseback" &%On+  
00001874 02 r 05 barely 0 hardly 0 just 4 scarcely 0 scarce 0 000 | by a small margin; "they could barely hear the speaker"; "we hardly knew them"; "just missed being hit"; "had scarcely rung the bell when the door flew open"; "would have scarce arrived before she would have found some excuse to leave"- W.B.Yeats &%SubjectiveAssessmentAttribute+  
00002191 02 r 02 hardly 2 scarcely 2 000 | almost not; "he hardly ever goes fishing"; "he was hardly more than sixteen years old"; "they scarcely ever used the emergency generator" &%SubjectiveAssessmentAttribute+  
00002374 02 r 01 annoyingly 0 001 \ 00092842 a 0101 | in an annoying manner or to an annoying degree &%SubjectiveAssessmentAttribute+  
00002477 02 r 05 basically 0 fundamentally 0 essentially 1 in_essence 0 au_fond 0 003 \ 00856182 a 0301 \ 01784854 a 0201 \ 00856572 a 0102 | at bottom or by one's (or its) very nature; "He is basically dishonest"; "the argument was essentially a technical one"; "for all his bluster he is in essence a shy person" &%SubjectiveAssessmentAttribute+  
00002794 02 r 01 blessedly 0 001 \ 00633225 a 0101 | in a blessed manner &%SubjectiveAssessmentAttribute+  
00002869 02 r 01 boiling 0 000 | (informal) extremely; "boiling mad" &%SubjectiveAssessmentAttribute+  
00002940 02 r 01 enviably 0 001 \ 00698764 a 0101 | in an enviable manner; "she was enviably fluent in French" &%SubjectiveAssessmentAttribute+  
00003053 02 r 01 pointedly 0 001 \ 00729322 a 0101 | in such a manner as to make something clearly evident; "he pointedly ignored the question" &%SubjectiveAssessmentAttribute+  
00003199 02 r 01 negatively 0 001 \ 01747801 a 0101 | in a negative way; "he was negatively inclined" &%not+  
00003303 02 r 01 negatively 1 001 \ 01081313 a 0101 | in a harmful manner; "he was negatively affected" &%Damaging+  
00003409 02 r 01 kindly 0 002 \ 01318368 a 0101 ! 00003582 r 0101 | in a kind manner or out of kindness; "He spoke kindly to the boy"; "she kindly overlooked the mistake" &%SubjectiveAssessmentAttribute+  
00003582 02 r 01 unkindly 0 002 ! 00003409 r 0101 \ 01319744 a 0101 | in an unkind manner or with unkindness; "The teacher treats the children unkindly" &%SubjectiveAssessmentAttribute+  
00003737 02 r 05 merely 0 simply 0 just 0 only 2 but 1 002 \ 01720635 a 0203 \ 01720635 a 0102 | and nothing more; "I was merely asking"; "it is simply a matter of time"; "just a scratch"; "he was only a child"; "hopes that last but a moment" &%SubjectiveAssessmentAttribute+  
00003982 02 r 01 simply 2 000 | absolutely; altogether; really; "we are simply broke" &%SubjectiveAssessmentAttribute+  
00004070 02 r 02 plainly 1 simply 1 002 \ 01779195 a 0203 \ 01779195 a 0102 | in a simple manner; without extravagance or embellishment; "she was dressed plainly"; "they lived very simply" &%SubjectiveAssessmentAttribute+  
00004261 02 r 01 anciently 0 001 \ 01665065 a 0101 | in ancient times; long ago; "a concern with what may have happened anciently" &%SubjectiveAssessmentAttribute+  
00004394 02 r 01 arguably 0 001 \ 00570063 a 0101 | as can be shown by argument; "she is arguably the best" &%Reasoning+  
00004504 02 r 01 unabashedly 0 001 \ 00158252 a 0101 | in an unabashed manner; "unabashedly, he asked for more" &%SubjectiveAssessmentAttribute+  
00004618 02 r 01 automatically 0 001 \ 02401195 a 0101 | in a reflex manner; "he answered automatically" &%SubjectiveAssessmentAttribute+  
